0	Osteoblasts 1	Osteoblasts
1	Duct mesenchyme	Duct mesenchyme
2	Mesenchyme 1	Mesenchyme
3	Mesenchyme 2	Mesenchyme
4	Dermal fibroblasts	Dermal fibroblasts
5	Mesenchyme 3	Mesenchyme
6	Chondroblasts 1	Chondroblasts
7	Visceral mesenchyme 1	Visceral mesenchyme
8	Connective mesenchyme 1	Connective mesenchyme
9	Mesenchyme 4	Mesenchyme
10	Dermal mesenchyme 1	Dermal mesenchyme
11	Middle mesenchyme 1	Middle mesenchyme
12	Visceral mesenchyme 2	Visceral mesenchyme
13	Cardiac fibroblasts 1	Cardiac fibroblasts
14	Mesenchyme Crabp1+	Mesenchyme
15	IVD	IVD
16	IVD (mature)	IVD
17	Chondroblasts 2	Chondroblasts
18	Preskeletal chondro IVD	Preskeletal chondro IVD
19	Dermal mesenchyme 2	Dermal mesenchyme
20	Tenocytes	Tenocytes
21	Dermal mesenchyme 3	Dermal mesenchyme
22	Connective mesenchyme 2	Connective mesenchyme
23	Meningeal fibroblasts 1	Meningeal fibroblasts
24	Dermal fibroblasts 2	Dermal fibroblasts
25	Preskeletal mesenchyme 1	Preskeletal mesenchyme
26	Connective IVD	IVD
27	Visceral mesenchyme 3	Visceral mesenchyme
28	Chondroblasts 3	Chondroblasts
29	Preskeletal osteo fibroblasts	Preskeletal osteo fibroblasts
30	Preskeletal chondro IVD	Preskeletal chondro IVD
31	VSMC 1	VSMC
32	Connective mesenchyme 3	Connective mesenchyme
33	VSMC 2	VSMC
34	Chondroblasts (mature)	Chondroblasts
35	Preskeletal chondro IVD	Preskeletal chondro IVD
36	Middle mesenchyme 2	Middle mesenchyme
37	Middle mesenchyme 3	Middle mesenchyme
38	Preskeletal osteo chondrocytes	Preskeletal osteo chondrocytes
39	Pericytes	Pericytes
40	Visceral mesenchyme 4	Visceral mesenchyme
41	Middle mesenchyme 4	Middle mesenchyme
42	Middle mesenchyme 5	Middle mesenchyme
43	Cardiac fibroblasts 2	Cardiac fibroblasts
44	Preskeletal mesenchyme 2	Preskeletal mesenchyme
45	Dermal mesenchyme 4 	Dermal mesenchyme
46	Cardiac fibroblasts 3	Cardiac fibroblasts
47	Cardiac fibroblasts 4	Cardiac fibroblasts
48	Cardiac fibroblasts 5	Cardiac fibroblasts
49	Meningeal fibroblasts 2	Meningeal fibroblasts
50	Middle mesenchyme 6	Middle mesenchyme
51	Osteoblasts (mature)	Osteoblasts
52	Dermal fibroblasts 3	Dermal fibroblasts
53	Epicardium	Epicardium
54	Kidney	Kidney
55	Visceral mesenchyme 5	Visceral mesenchyme
56	Chondroblasts 4	Chondroblasts