0	Dorsal inhibitory 1	Dorsal inhibitory
1	Dorsal excitatory 1	Dorsal excitatory
2	Dorsal excitatory 2	Dorsal excitatory
3	Ventral neurons 1	Ventral neurons
4	Dorsal excitatory 3	Dorsal excitatory
5	Dorsal inhibitory 2	Dorsal inhibitory
6	Dorsal excitatory 4	Dorsal excitatory
7	Dorsal inhibitory 3	Dorsal inhibitory
8	CNS progenitor 1	CNS progenitor
9	Ventral neurons 2	Ventral neurons
10	Dorsal progenitor medial	Dorsal progenitor medial
11	Glia 1	Glia
12	Glia Schwann 1	Glia
13	Dorsal excitatory lateral	Dorsal excitatory lateral
14	Dorsal inhibitory lateral	Dorsal inhibitory lateral
15	Dorsal progenitor medial 2	Dorsal progenitor medial
16	Sensory 1	Sensory
17	Dorsal inhibitory 5	Dorsal inhibitory
18	Ventral neuron 3	Ventral neurons
19	Autonomic sympathetic	Autonomic sympathetic
20	CNS progenitor 2	CNS progenitor
21	Chromaffin cells	Chromaffin cells
22	Autonomic parasympathetic	Autonomic parasympathetic
23	Glia 3	Glia
24	Glia 4	Glia
25	Glia Bridge	Glia
26	Glia 6 	Glia
27	Ventral progenitors	Ventral progenitors
28	Sensory 2	Sensory
29	Ventral neurons 4	Ventral neurons
30	Ventral motor progenitor	Ventral motor progenitor
31	Sensory 3	Sensory
32	Dorsal excitatory 6	Dorsal excitatory
33	Melanocytes	Melanocytes
34	Glial Schwann 2	Glia
35	CNS 1	CNS
36	CNS 2	CNS
37	CNS 3	CNS